Model,Scenario,Region,Variable,Unit,Year,Value
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Gases|Gas,EUR/GJ,2022,12.8055
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Gases|Gas,EUR/GJ,2023,12.8055
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Gases|Gas,EUR/GJ,2024,12.8055
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Gases|Gas,EUR/GJ,2025,12.8055
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Gases|Gas,EUR/GJ,2026,12.8055
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Gases|Gas,EUR/GJ,2027,12.8055
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Gases|Gas,EUR/GJ,2028,12.8055
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Gases|Gas,EUR/GJ,2029,12.8055
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Gases|Gas,EUR/GJ,2030,12.8055
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Gases|Gas,EUR/GJ,2031,12.8055
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Gases|Gas,EUR/GJ,2032,12.8055
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Gases|Gas,EUR/GJ,2033,12.8055
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Gases|Gas,EUR/GJ,2034,12.8055
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Gases|Gas,EUR/GJ,2035,12.8055
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Gases|Gas,EUR/GJ,2036,12.8055
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Gases|Gas,EUR/GJ,2037,12.8055
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Gases|Gas,EUR/GJ,2038,12.8055
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Gases|Gas,EUR/GJ,2039,12.8055
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Gases|Gas,EUR/GJ,2040,12.8055
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Gases|Gas,EUR/GJ,2041,12.8055
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Gases|Gas,EUR/GJ,2042,12.8055
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Gases|Gas,EUR/GJ,2043,12.8055
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Gases|Gas,EUR/GJ,2044,12.8055
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Gases|Gas,EUR/GJ,2045,12.8055
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Gases|Gas,EUR/GJ,2046,12.8055
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Gases|Gas,EUR/GJ,2047,12.8055
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Gases|Gas,EUR/GJ,2048,12.8055
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Gases|Gas,EUR/GJ,2049,12.8055
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Gases|Gas,EUR/GJ,2050,12.8055
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Biomass,EUR/GJ,2015,10.44
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Biomass,EUR/GJ,2016,10.44
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Biomass,EUR/GJ,2017,10.44
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Biomass,EUR/GJ,2018,10.44
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Biomass,EUR/GJ,2019,10.44
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Biomass,EUR/GJ,2020,10.44
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Biomass,EUR/GJ,2021,10.44
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Biomass,EUR/GJ,2022,10.44
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Biomass,EUR/GJ,2023,10.44
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Biomass,EUR/GJ,2024,10.44
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Biomass,EUR/GJ,2025,10.44
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Biomass,EUR/GJ,2026,10.6488
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Biomass,EUR/GJ,2027,10.81584
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Biomass,EUR/GJ,2028,10.949472
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Biomass,EUR/GJ,2029,11.0563776
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Biomass,EUR/GJ,2030,11.14190208
